csf_identifiers_pval
P51884
P47972
Q15223
Q8N3J6
A0A0A0MT96
Q14515
P16035
P01597;P04432
P09972
H0YAH3
P22105
O14773
Q9Y2T3
A0A0C4DH38
P80723
P07360
Q8NBJ4
Q99969
Q13554
Q96PX8
P08571
Q9HC38
P42658
P09871
P98153
P02751
Q9NY72
P78509
P43652
P04430
Q12794
P43146
P14618
P02746
A0A087WW87;P01614
Q93091
P04003
Q6MZW2
Q9NQ79
P16870
Q8WXD2
Q8N126
Q9BWQ8
P41222
Q9H3G5
P02656
P01591
Q86UN3
P27797
P02768
Q5JRA6
P25774
A0A087WSY6
Q9GZM5
Q92859
P17174
P03952
P55290
P00747
P06331
P42785
Q92820
P07737
P08603
P26992
Q8IZP7
P02792
P61626
Q8IYS5
P31146
Q9BQ16
Q86Y38
Q99459
P08294
P02760
P05408
Q7Z7M0
P13987
P30086
P23582
P07108
Q8NFZ4
P33151
P01599
P04271
P10643
P08637
Q08174
Q99574
P02774
P13521
P01210
P02743
P07237
Q8TAG5
A0A0B4J1V0
Q8IV08
P02748
O95445
Q9NPR2
P14384
Q6UX71
P06865
Q9Y5Y7
P02452
Q92932
O94910
P02679
Q9UHC6
P04217
O00533
P49641
P07585
P23284
A0A096LPE2
P01834
O75503
O14594
Q9Y6N7
Q99435
Q8TEU8
P01871
Q9BZR6
P0CG47;P0CG48;P62979;P62987
Q15166
Q5KU26
P08195
Q02246
B1AHL2
Q99674
Q15818
Q6EMK4
P01031
P20827
P01714
O60883
P07686
P01780
P08253
P00742
P02671
P62937
P63104
P02766
P53634
P01042
P04406
Q9UN36
P19022
P00338
P02765
Q02818
P07711
Q9GZX9
O43505
O15240
P27824
Q14165
A0A0C4DH67
P0DP58
P21802
A0A4W8ZXM2
P01877
Q08629
X6RKN2
Q9NSC7
Q9UPU3
P23435
Q24JP5
Q14112
C9JGG1;C9JJ79
Q02487
A0A9H3ZR93
P00746
P04179
Q9HC56
Q8WWX9
P09417
P60709
P10645
Q86VB7
Q9UGM5
Q9NPD7
A0A804HKL8;E7EN28;E7ESV6;E7ETE3;E7EUP0;E7EUW2;E7EVD6;E7EX52
P14151
P07225
A0AAG2UUW0
P00736
P06727
P23083
Q16653
Q96PD5
Q9UBQ6
P02649
Q9H1Z8
P02675
P02745
P01876
P05090
Q9C0A0
B4E1Z4
P05154
P18669
P40189
O75509
Q14624
Q9UBX1
P09172
P12109
P63241;Q6IS14;Q9GZV4
Q9UJA9
P62805
P13796
P01742
Q9BRK5
Q14019
O60888
O43866
Q9UHG2
P20774
P39059
P27169
Q92752
Q9HAT2
A0M8Q6
A0A075B6P5;P01615
A0AAG2T928
Q9NZP8
H7C0L6
O43157
Q16568
O95502
Q8NBP7
Q9UHF0
A0A0C4DH36
P01034
O00462
Q9UMF0
P14625
P36955
P10721
P62736;P63267
Q16270
P05937
P13671
P08670
P05543
P00734
P78324
A0A494C0G5
P01023
Q562R1
Q8NFZ8
Q16769
P08758
A0A0B4J1X5
