plasma_identifiers
A0A075B6H7
A0A075B6R9;A0A0C4DH68
A0A075B6S5
A0A0B4J1X5
A0A0C4DH24
A0A0C4DH31
A0A0C4DH36
A0A0J9YXX1
A0AAG2TVE0
O75636
O75882
O95445
P00488
P01602
P01619
P01780
P01834
P01857
P02649
P02654
P02656
P02671
P02675
P02679
P02741
P02746
P02747
P02748
P02750
P02751
P02753
P02765
P02790
P03951
P04004
P04070
P04275
P04433
P05090
P05109
P05154
P05155
P05546
P06312
P06681
P06702
P06727
P07195
P07225
P07737
P08185
P08571
P0DJI8
P12259
P13473
P13671
P14151
P20742
P24592
P29622
P35858
P51884
P60709
P80108
Q16610
Q96IY4
Q9NPH3
Q9NZP8
A0A075B6P5;P01615
A0A087WW87;P01614
A0A0B4J1V0
A0A0C4DH25
A0A0C4DH33
A0A0J9YX35
A0M8Q6
P00734
P00738
P00740
P00747
P01011
P01024
P01031
P01042
P01861
P02743
P02766
P02787
P03952
P04003
P04180
P04196
P04430
P05452
P06396
P07996
P0C0L4
P0DOY2;P0DOY3
P61769
Q14624
Q15582
Q9UGM5
